iter	Logloss
0	0.6925441202
1	0.6919432827
2	0.6913870994
3	0.6909864561
4	0.6904920507
5	0.6899976077
6	0.6897464033
7	0.6892525146
8	0.6887019777
9	0.6882541399
10	0.6877589365
11	0.68696578
12	0.6864179739
13	0.6859269818
14	0.6853791546
15	0.6845892524
16	0.6839026383
17	0.6832585722
18	0.6823705189
19	0.6818850152
20	0.6814002802
21	0.680756405
22	0.6800747043
23	0.6797316713
24	0.6794067563
25	0.6789688524
26	0.6784814104
27	0.677998947
28	0.6775127947
29	0.6768383078
30	0.6760611135
31	0.6754804993
32	0.6746053555
33	0.673730263
34	0.6734438424
35	0.6727674335
36	0.6721923099
37	0.6715215657
38	0.6708544628
39	0.6702750488
40	0.669748112
41	0.6691757233
42	0.6685093487
43	0.6679395126
44	0.6674662993
45	0.666895157
46	0.6663738617
47	0.6659030904
48	0.6654345909
49	0.6649126118
50	0.6646953481
51	0.6641789409
52	0.6635180222
53	0.6629543262
54	0.6622955198
55	0.6616406435
56	0.6608848322
57	0.660556864
58	0.6598079189
59	0.6591528063
60	0.6586391532
61	0.6579898516
62	0.6573360051
63	0.6565872702
64	0.656076518
65	0.6555243076
66	0.6549726006
67	0.6544198378
68	0.6536780851
69	0.6531279428
70	0.6528261671
71	0.6520840456
72	0.6515764764
73	0.650741914
74	0.650213058
75	0.6496660246
76	0.6490257361
77	0.6488214806
78	0.64854728
79	0.6478153318
80	0.6472672219
81	0.6467267855
82	0.6460908007
83	0.6453606981
84	0.6445380966
85	0.6440910894
86	0.6434573909
87	0.643014192
88	0.642292408
89	0.6418590088
90	0.6414512822
91	0.641008343
92	0.640602726
93	0.6399772518
94	0.63948352
95	0.6388537405
96	0.6385838091
97	0.638045494
98	0.6375158578
99	0.636892687
100	0.6362664561
101	0.6355553184
102	0.635155383
103	0.6344402251
104	0.633822571
105	0.6333851442
106	0.6326765663
107	0.63173665
108	0.6312910819
109	0.6308544278
110	0.6303329627
111	0.6296298216
112	0.6292377955
113	0.6287046756
114	0.6283160725
115	0.6278367415
116	0.6272665326
117	0.626744183
118	0.6262527385
119	0.6257774266
120	0.6250812316
121	0.6246677871
122	0.6241477983
123	0.6234549007
124	0.6230291043
125	0.6223375286
126	0.6216388611
127	0.6212580896
128	0.620876391
129	0.6206267881
130	0.6199365918
131	0.6194250658
132	0.6187311251
133	0.6184770646
134	0.617971266
135	0.6174634056
136	0.6167730529
137	0.6162201209
138	0.6155314775
139	0.6151242011
140	0.6146233061
141	0.6142360579
142	0.6138458092
143	0.6132527611
144	0.6127536137
145	0.6124279371
146	0.6121570947
147	0.6116573332
148	0.6111771837
149	0.6104971724
150	0.6098161106
151	0.6091449186
152	0.6089566552
153	0.6084628095
154	0.6077039806
155	0.6074891144
156	0.6069461203
157	0.606279122
158	0.6055209913
159	0.6051173285
160	0.6044504174
161	0.6040005684
162	0.6036210805
163	0.6029525506
164	0.6022894489
165	0.6020944161
166	0.6014248388
167	0.6010230439
168	0.6006590043
169	0.6004071747
170	0.599663049
171	0.5993032881
172	0.5987280565
173	0.5980648186
174	0.5974923436
175	0.5969245413
176	0.5964651895
177	0.5958149561
178	0.5953537779
179	0.5951608121
180	0.5946995233
181	0.5943042189
182	0.5941097417
183	0.5933329208
184	0.5927673472
185	0.5925792073
186	0.5920106364
187	0.5916026575
188	0.5911305823
189	0.5904869288
190	0.5900506803
191	0.589408502
192	0.5888473413
193	0.5882934907
194	0.5879039828
195	0.5874373381
196	0.5869696438
197	0.5863286172
198	0.5857703899
199	0.5851352811
200	0.5845001553
201	0.5839497192
202	0.5833169392
203	0.582761607
204	0.5823404406
205	0.581877734
206	0.581495483
207	0.580943329
208	0.580764464
209	0.5801375913
210	0.5795872446
211	0.5790407232
212	0.5784076069
213	0.5779511098
214	0.577531921
215	0.5769106107
216	0.5762878529
217	0.5757870887
218	0.5750832345
219	0.574645515
220	0.5742693075
221	0.5738946838
222	0.5733535354
223	0.5731257243
224	0.5724242393
225	0.571882861
226	0.5714344595
227	0.5710695045
228	0.5705763251
229	0.5700396491
230	0.56950388
231	0.5689651306
232	0.5687148081
233	0.5681028536
234	0.5676572919
235	0.5670490435
236	0.5667045287
237	0.5664704783
238	0.5657813528
239	0.565595233
240	0.5649893731
241	0.5643858356
242	0.564177941
243	0.5636510253
244	0.5631242352
245	0.5627709499
246	0.562405995
247	0.5618809015
248	0.5613652681
249	0.560763589
250	0.5605478202
251	0.5599477014
252	0.5597183108
253	0.5593568257
254	0.5588348955
255	0.5584323385
256	0.5579107319
257	0.5575865379
258	0.5569854187
259	0.5564660685
260	0.5560826276
261	0.5556517584
262	0.5552193799
263	0.5548474576
264	0.5543301893
265	0.5539531133
266	0.5536747511
267	0.5533500378
268	0.5528369503
269	0.5523989605
270	0.5520685336
271	0.5516279829
272	0.5510409623
273	0.550458559
274	0.5501051609
275	0.5497534531
276	0.5496008971
277	0.549520203
278	0.549012016
279	0.5486619898
280	0.5483359737
281	0.547674607
282	0.5473248682
283	0.5469759192
284	0.5464702057
285	0.5460336762
286	0.5456438001
287	0.5452274936
288	0.544723713
289	0.5443090647
290	0.5439026058
291	0.5435610669
292	0.5430592277
293	0.5422936231
294	0.5419105973
295	0.5415836998
296	0.541014963
297	0.5404351694
298	0.5400730542
299	0.5395048261
300	0.5388250287
301	0.5383298653
302	0.537835698
303	0.5373471699
304	0.536932792
305	0.5367641406
306	0.5360872788
307	0.5356787103
308	0.535419975
309	0.535082915
310	0.5349068599
311	0.5345691315
312	0.5340794665
313	0.5335232828
314	0.5331684096
315	0.532993521
316	0.5325843053
317	0.5321526442
318	0.5315968905
319	0.5312779631
320	0.5309109603
321	0.530281863
322	0.529799802
323	0.5296070278
324	0.5294610603
325	0.5290573622
326	0.5284956907
327	0.5279460251
328	0.5274663184
329	0.5274051513
330	0.5271031942
331	0.5265561002
332	0.5264019328
333	0.5261022832
334	0.5258461961
335	0.5256390572
336	0.5253149995
337	0.5246940638
338	0.5242148893
339	0.5237396189
340	0.523120663
341	0.5229738057
342	0.5224982202
343	0.522032593
344	0.5217371924
345	0.5212630076
346	0.520867667
347	0.5205391943
348	0.5200016073
349	0.519463471
350	0.5190735417
351	0.518565229
352	0.5180959105
353	0.5176282355
354	0.5171608116
355	0.5166920892
356	0.5162258233
357	0.5156188863
358	0.5152348876
359	0.5148479172
360	0.5143839887
361	0.5140711069
362	0.5135436271
363	0.5132395625
364	0.5128511659
365	0.5123916141
366	0.5121089348
367	0.5117718279
368	0.5111743254
369	0.5107138199
370	0.5103347301
371	0.5101758497
372	0.5097189162
373	0.5094064815
374	0.5088717937
375	0.5084148901
376	0.5080852934
377	0.5074912906
378	0.5071915942
379	0.5067368916
380	0.5062838154
381	0.5058310117
382	0.5053047325
383	0.5050262681
384	0.5047193723
385	0.5045399751
386	0.5040872991
387	0.5037190488
388	0.5032682249
389	0.5026829583
390	0.5021686469
391	0.5017209266
392	0.5015891663
393	0.5013488361
394	0.5006603343
395	0.5003235042
396	0.5000202443
397	0.4997142724
398	0.4992082885
399	0.4989052287
400	0.4985397543
401	0.498021675
402	0.4976938495
403	0.4973208266
404	0.4968795308
405	0.4965476649
406	0.4961092344
407	0.4956075719
408	0.4952560834
409	0.4948787689
410	0.4943691748
411	0.4939295777
412	0.4934290349
413	0.4929301909
414	0.4924950387
415	0.4919898765
416	0.4915529915
417	0.4911155701
418	0.4906209452
419	0.490250183
420	0.4900648935
421	0.489837489
422	0.4893447586
423	0.4889107006
424	0.4886189401
425	0.4881860358
426	0.4878962849
427	0.4874636063
428	0.4870462034
429	0.4864874738
430	0.4863739993
431	0.4859451013
432	0.4854470662
433	0.485124703
434	0.4847739254
435	0.4843898118
436	0.4840991114
437	0.4836523107
438	0.4832262312
439	0.4826432892
440	0.4824214067
441	0.4819258622
442	0.4814467217
443	0.4810238481
444	0.4807424077
445	0.4802659069
446	0.479717625
447	0.4793725567
448	0.4788301034
449	0.478546381
450	0.4781264322
451	0.4777825134
452	0.4773042032
453	0.4770083555
454	0.4765922257
455	0.4761732178
456	0.4758575005
457	0.4755188142
458	0.4751034762
459	0.4747314198
460	0.4745135818
461	0.4741009602
462	0.4738189152
463	0.4735410086
464	0.4733725786
465	0.4728907219
466	0.4724804759
467	0.4723046592
468	0.4718377973
469	0.4714273555
470	0.4712127362
471	0.4707477774
472	0.4703386469
473	0.4698600258
474	0.4693303236
475	0.4689228662
476	0.4683932662
477	0.4679330502
478	0.4677186736
479	0.4676530787
480	0.4674416823
481	0.4669130317
482	0.4664548593
483	0.4661256416
484	0.4656024916
485	0.4651418413
486	0.4646780108
487	0.4642215031
488	0.4640909561
489	0.4636928184
490	0.4631411859
491	0.4627419455
492	0.4622191148
493	0.4618909785
494	0.4614321717
495	0.4612239897
496	0.4608990082
497	0.4604367231
498	0.4601698262
499	0.4600040231
500	0.4596072137
501	0.4591574754
502	0.4588300203
503	0.4585041659
504	0.4580564073
505	0.457662791
506	0.4574593902
507	0.4570750339
508	0.4569146122
509	0.4565232056
510	0.4561312795
511	0.4557411245
512	0.4555811116
513	0.4552633762
514	0.4551316755
515	0.4548246179
516	0.4543165181
517	0.4539266399
518	0.4537664609
519	0.453327047
520	0.4529384204
521	0.4525315506
522	0.4522839487
523	0.4519075368
524	0.4515977842
525	0.4513026135
526	0.4511454829
527	0.4507071674
528	0.4503850341
529	0.4500934226
530	0.4496585769
531	0.4492749231
532	0.4490419967
533	0.4485433698
534	0.4483441285
535	0.4481480462
536	0.4477163724
537	0.4474597786
538	0.4471765033
539	0.4468016624
540	0.4465225169
541	0.4462663489
542	0.4458260451
543	0.4453946905
544	0.4449666526
545	0.4446478145
546	0.4442209687
547	0.4437926837
548	0.443417464
549	0.4431646722
550	0.442861425
551	0.4424905096
552	0.4420638936
553	0.4418144056
554	0.4415159992
555	0.4412146764
556	0.4408431394
557	0.4404179454
558	0.4401111603
559	0.4398181609
560	0.4394474498
561	0.4389662147
562	0.4386648025
563	0.4382461182
564	0.4380101689
565	0.4377632439
566	0.4375747911
567	0.4372637527
568	0.4368480742
569	0.4363698661
570	0.4362498309
571	0.4358842373
572	0.4354542792
573	0.4350397715
574	0.434672692
575	0.43424978
576	0.4339248623
577	0.4335616231
578	0.4330882813
579	0.432783344
580	0.4323711991
581	0.4320853395
582	0.4318719506
583	0.4315084858
